PID,Cycles,Memory in KB
1000,6757,8
1001,4156,18
1002,8401,46
1003,11000,42
1004,11000,12
1005,2417,7
1006,5833,15
1007,6388,14
1008,5257,25
1009,5483,23
1010,6345,9
1011,9302,48
1012,6110,13
1013,5690,11
1014,7832,15
1015,3126,20
1016,7737,51
1017,6991,67
1018,11000,3
1019,3931,17
1020,4944,22
1021,5192,36
1022,5543,4
1023,5885,7
1024,3063,9
1025,4329,16
1026,6707,18
1027,3958,24
1028,4950,49
1029,6948,37
1030,5741,13
1031,7881,51
1032,2956,36
1033,4427,17
1034,8504,12
1035,5975,22
1036,4102,20
1037,5395,2
1038,8207,21
1039,5401,4
1040,6919,42
1041,4099,20
1042,6279,12
1043,9832,4
1044,11000,7
1045,6095,20
1046,4721,46
1047,9303,30
1048,6793,8
1049,6905,21
1050,7777,39
1051,7893,19
1052,3728,12
1053,3876,23
1054,7976,35
1055,4438,17
1056,6265,24
1057,6114,18
1058,5707,33
1059,7376,20
1060,8087,11
1061,5636,25
1062,4503,7
1063,5270,15
1064,7573,8
1065,3496,15
1066,5353,47
1067,7236,14
1068,5294,11
1069,4973,20
1070,4822,1
1071,3207,14
1072,6980,4
1073,9596,16
1074,6156,11
1075,3965,27
1076,6620,3
1077,6572,48
1078,3841,9
1079,4959,28
1080,4137,9
1081,5594,32
1082,10571,16
1083,9083,2
1084,4365,28
1085,5345,11
1086,3480,14
1087,3335,3
1088,3535,29
1089,5295,42
1090,5327,6
1091,3795,9
1092,6549,35
1093,5834,14
1094,6599,6
1095,8998,30
1096,7204,26
1097,5432,27
1098,7394,7
1099,8199,10
